label,ch0_norm,ch1_norm,ch2_norm,ch3_norm,ch4_norm
B,0.5023,0.4512,0.0205,0.0000,0.0000
B,0.7042,0.4065,0.0588,0.0000,0.0000
B,0.8451,0.4797,0.0486,0.0000,0.0000
B,1.0000,0.4634,0.0691,0.0000,0.0000
B,1.0000,0.4675,0.0972,0.0349,0.0000
B,1.0000,0.5813,0.1074,0.0667,0.0000
B,1.0000,0.5935,0.1560,0.0921,0.0000
B,1.0000,0.5894,0.1739,0.0984,0.0000
B,1.0000,0.6138,0.1790,0.1079,0.0000
B,1.0000,0.6138,0.1714,0.1048,0.0000
B,1.0000,0.6016,0.1790,0.0952,0.0000
B,1.0000,0.5488,0.1662,0.0794,0.0000
B,1.0000,0.5528,0.1432,0.0667,0.0000
B,0.9859,0.5244,0.1253,0.0730,0.0000
B,0.9812,0.5244,0.1074,0.0730,0.0000
B,0.9577,0.4878,0.1228,0.0794,0.0000
B,0.9484,0.5000,0.1125,0.0730,0.0000
B,0.9390,0.5244,0.1176,0.0476,0.0000
B,0.8779,0.5203,0.1074,0.0857,0.0000
B,0.8732,0.5081,0.1151,0.0476,0.0000
B,0.8545,0.4837,0.1049,0.0444,0.0000
B,0.8498,0.4715,0.1125,0.0540,0.0000
B,0.8685,0.4715,0.1074,0.0254,0.0000
B,0.8779,0.4837,0.1125,0.0317,0.0000
B,0.8638,0.4715,0.1176,0.0413,0.0000
B,0.8873,0.5041,0.1381,0.0349,0.0000
B,0.9577,0.5203,0.1407,0.0762,0.0000
B,0.9577,0.5447,0.1407,0.1079,0.0000
B,0.9108,0.5488,0.1765,0.1016,0.0000
B,0.8920,0.5772,0.1739,0.0762,0.0000
B,0.8075,0.6138,0.1995,0.0794,0.0000
B,0.7887,0.6138,0.2353,0.0762,0.0000
B,0.7230,0.6463,0.2046,0.0921,0.0000
B,0.6291,0.6179,0.2225,0.1079,0.0000
B,0.5211,0.6504,0.2046,0.0921,0.0000
B,0.4272,0.6423,0.2225,0.0825,0.0000
B,0.4131,0.6098,0.2379,0.0857,0.0000
B,0.3662,0.5894,0.2046,0.0571,0.0000
B,0.3474,0.5813,0.1739,0.0730,0.0000
B,0.3192,0.5935,0.1841,0.0730,0.0000
B,0.4225,0.5732,0.1714,0.0444,0.0000
B,0.4366,0.5610,0.1535,0.0444,0.0000
B,0.4272,0.5366,0.1407,0.0381,0.0000
B,0.4413,0.5650,0.1432,0.0540,0.0000
B,0.4413,0.4959,0.1407,0.0476,0.0000
B,0.3991,0.4878,0.1330,0.0349,0.0000
B,0.3803,0.5000,0.1151,0.0254,0.0000
B,0.6197,0.5122,0.1049,0.0413,0.0000
B,0.6432,0.5041,0.1279,0.0349,0.0000
B,0.6667,0.4919,0.1330,0.0095,0.0000
B,0.6948,0.4553,0.1407,0.0349,0.0000
B,0.7230,0.4553,0.1381,0.0032,0.0000
B,0.7746,0.4187,0.1125,0.0159,0.0000
B,0.8779,0.4593,0.1176,0.0095,0.0000
B,0.9061,0.4431,0.1151,0.0032,0.0000
B,0.9531,0.4593,0.1023,0.0000,0.0000
B,0.9249,0.5285,0.1228,0.0063,0.0000
B,0.9765,0.5000,0.1151,0.0127,0.0000
B,0.9484,0.4512,0.1176,0.0159,0.0000
B,0.9765,0.4593,0.1074,0.0000,0.0000
B,0.9671,0.4309,0.0946,0.0000,0.0000
B,0.9812,0.4228,0.0946,0.0000,0.0000
B,0.9953,0.3821,0.0716,0.0000,0.0000
B,0.8826,0.3821,0.0767,0.0000,0.0000
B,0.9437,0.3943,0.0818,0.0000,0.0000
B,0.8920,0.3821,0.0870,0.0000,0.0000
B,0.9390,0.3659,0.0818,0.0000,0.0000
B,0.8779,0.3780,0.0742,0.0000,0.0000
B,0.8826,0.3577,0.0946,0.0000,0.0000
B,0.8498,0.3659,0.0614,0.0000,0.0000
B,0.7746,0.3415,0.0486,0.0000,0.0000
B,0.7465,0.4146,0.0767,0.0000,0.0000
B,0.7277,0.3577,0.0588,0.0000,0.0000
B,0.6714,0.3333,0.0460,0.0000,0.0000
B,0.6291,0.3293,0.0512,0.0000,0.0000
B,0.5822,0.3415,0.0588,0.0000,0.0000
B,0.5775,0.3293,0.0307,0.0000,0.0000
B,0.5634,0.3293,0.0358,0.0000,0.0000
B,0.5117,0.3293,0.0256,0.0000,0.0000
B,0.4930,0.3211,0.0205,0.0000,0.0000
B,0.4883,0.3415,0.0358,0.0000,0.0000
B,0.5023,0.3780,0.0460,0.0000,0.0000
B,0.5164,0.3902,0.0537,0.0000,0.0000
B,0.4554,0.3577,0.0332,0.0000,0.0000
B,0.4366,0.3862,0.0614,0.0000,0.0000
B,0.4272,0.3862,0.0307,0.0000,0.0000
B,0.3615,0.4024,0.0307,0.0000,0.0000
B,0.2864,0.3780,0.0639,0.0000,0.0000
B,0.2770,0.3618,0.0358,0.0000,0.0000
B,0.2629,0.3821,0.0332,0.0000,0.0000
B,0.2629,0.3659,0.0256,0.0000,0.0000
B,0.2535,0.3659,0.0512,0.0000,0.0000
B,0.2300,0.3577,0.0281,0.0000,0.0000
B,0.2019,0.3537,0.0179,0.0000,0.0000
B,0.1925,0.3821,0.0563,0.0000,0.0000
B,0.2066,0.3252,0.0537,0.0000,0.0000
B,0.1878,0.3740,0.0409,0.0000,0.0000
B,0.1784,0.3333,0.0205,0.0000,0.0000
B,0.1690,0.3293,0.0358,0.0000,0.0000
B,0.1878,0.3537,0.0230,0.0000,0.0000
B,0.2019,0.3211,0.0307,0.0000,0.0000
B,0.2160,0.3293,0.0358,0.0000,0.0000
B,0.1878,0.3008,0.0077,0.0000,0.0000
B,0.2441,0.3293,0.0205,0.0000,0.0000
B,0.2441,0.3130,0.0102,0.0000,0.0000
B,0.2441,0.3293,0.0051,0.0000,0.0000
B,0.2911,0.3008,0.0102,0.0000,0.0000
B,0.3333,0.3171,0.0051,0.0000,0.0000
B,0.3286,0.3130,0.0307,0.0000,0.0000
B,0.3239,0.3211,0.0230,0.0000,0.0000
B,0.3192,0.2927,0.0051,0.0000,0.0000
B,0.3005,0.3089,0.0128,0.0000,0.0000
B,0.3005,0.3089,0.0000,0.0000,0.0000
B,0.2770,0.2724,0.0102,0.0000,0.0000
B,0.8732,0.7927,0.1074,0.1714,0.0941
B,0.8826,0.8008,0.1279,0.1778,0.1254
B,0.9390,0.7805,0.0946,0.1778,0.0976
B,0.9343,0.8415,0.1381,0.1429,0.1289
B,0.9202,0.7846,0.1074,0.1619,0.1080
B,0.9202,0.7805,0.1176,0.1429,0.0976
B,0.9014,0.7642,0.1407,0.1270,0.1289
B,0.9202,0.7764,0.1074,0.1556,0.1185
B,0.8779,0.8049,0.1151,0.1746,0.1185
B,0.8779,0.7764,0.1407,0.1397,0.0871
